month,sensor_id,avg_hourly_counts,sensor_description,latitude,longitude,location,rank
August,41,1194.4836021505375,Flinders La-Swanston St (West),-37.81668633,144.96689733,"(-37.81668633, 144.96689733)",4
August,22,1157.3704238921002,Flinders St-Elizabeth St (East),-37.81786445,144.96506823,"(-37.81786445, 144.96506823)",5
August,3,1078.5029761904761,Melbourne Central,-37.81101523,144.96429485,"(-37.81101523, 144.96429485)",6
August,35,1038.909314731227,Southbank,-37.82017828,144.96508877,"(-37.82017828, 144.96508877)",7
August,6,982.6931784032856,Flinders Street Station Underpass,-37.81911704,144.96558256,"(-37.81911704, 144.96558256)",8
August,24,970.1369474313022,Spencer St-Collins St (North),-37.81887962,144.95449198,"(-37.81887962, 144.95449198)",9
August,32,966.5456802383317,City Square,-37.81573742,144.96685718,"(-37.81573742, 144.96685718)",10
August,1,928.5235552763819,Bourke Street Mall (North),-37.8134944,144.96515324,"(-37.8134944, 144.96515324)",11
August,84,924.7943548387096,Elizabeth St - Flinders St (East) - New footpath,-37.81798049,144.96503383,"(-37.81798049, 144.96503383)",12
August,5,870.3503928866832,Princes Bridge,-37.81874249,144.96787656,"(-37.81874249, 144.96787656)",13
August,2,832.9007296466974,Bourke Street Mall (South),-37.81380667,144.96516719,"(-37.81380667, 144.96516719)",14
August,15,782.5376344086021,State Library,-37.81064378,144.96447132,"(-37.81064378, 144.96447132)",15
August,13,780.9301075268817,Flagstaff Station,-37.81239679,144.95652653,"(-37.81239679, 144.95652653)",16
August,28,765.3446345256609,The Arts Centre,-37.82129924,144.96879309,"(-37.82129924, 144.96879309)",17
August,16,697.908064516129,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)",18
August,47,639.0570987654321,Melbourne Central-Elizabeth St (East),-37.81160331,144.96220077,"(-37.81160331, 144.96220077)",19
August,45,571.826164874552,Little Collins St-Swanston St (East),-37.81414074,144.9660938,"(-37.81414074, 144.9660938)",20
August,21,508.41525157232707,Bourke St-Russell St (West),-37.81244703,144.96778757,"(-37.81244703, 144.96778757)",21
August,53,495.2229567307692,Collins Street (North),-37.8156419,144.965499,"(-37.8156419, 144.965499)",22
