day,sensor_id,avg_hourly_counts,sensor_description,latitude,longitude,location,rank
Monday,45,582.679609929078,Little Collins St-Swanston St (East),-37.81414074,144.9660938,"(-37.81414074, 144.9660938)",20
Monday,9,562.3259592326139,Southern Cross Station,-37.81982992,144.95102556,"(-37.81982992, 144.95102556)",21
Monday,53,557.0788479697828,Collins Street (North),-37.8156419,144.965499,"(-37.8156419, 144.965499)",22
Monday,55,549.6977513227513,Elizabeth St-La Trobe St (East),-37.80988941,144.96134331,"(-37.80988941, 144.96134331)",23
Monday,25,478.99719101123594,Melbourne Convention Exhibition Centre,-37.82401776,144.95604426,"(-37.82401776, 144.95604426)",24
Monday,58,477.39674796747966,Bourke St - Spencer St (North),-37.81686074,144.95358075,"(-37.81686074, 144.95358075)",25
Monday,21,474.09694258016407,Bourke St-Russell St (West),-37.81244703,144.96778757,"(-37.81244703, 144.96778757)",26
Monday,17,463.8738380665427,Collins Place (South),-37.81362542,144.97323592,"(-37.81362542, 144.97323592)",27
Monday,66,452.6602409638554,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)",28
Monday,57,442.7284492213205,Bourke St Bridge,-37.8176735,144.95025595,"(-37.8176735, 144.95025595)",29
Monday,19,424.26814279258923,Chinatown-Swanston St (North),-37.81237202,144.96550671,"(-37.81237202, 144.96550671)",30
Monday,30,371.67386023916293,Lonsdale St (South),-37.81121849,144.96656807,"(-37.81121849, 144.96656807)",31
Monday,18,366.7173373075012,Collins Place (North),-37.81344861,144.97305354,"(-37.81344861, 144.97305354)",32
Monday,14,356.8808126695691,Sandridge Bridge,-37.82011242,144.96291898,"(-37.82011242, 144.96291898)",33
Monday,29,341.6023073989321,St Kilda Rd-Alexandra Gardens,-37.81965808,144.96863453,"(-37.81965808, 144.96863453)",34
Monday,26,340.0329373650108,QV Market-Elizabeth St (West),-37.80869542,144.96049404,"(-37.80869542, 144.96049404)",35
Monday,79,320.8988095238095,Flinders St (South),-37.81794046,144.96616678,"(-37.81794046, 144.96616678)",36
Monday,23,308.5488888888889,Spencer St-Collins St (South),-37.81909256,144.95452749,"(-37.81909256, 144.95452749)",37
Monday,7,286.2771247739602,Birrarung Marr,-37.81862929,144.97169395,"(-37.81862929, 144.97169395)",38
Monday,52,269.0323705179283,Elizabeth St-Lonsdale St (South),-37.81252157,144.9619401,"(-37.81252157, 144.9619401)",39
Monday,59,265.7096920289855,Building 80 RMIT,-37.80825648,144.96304859,"(-37.80825648, 144.96304859)",40
Monday,61,262.13243099787684,RMIT Building 14,-37.80767455,144.96309115,"(-37.80767455, 144.96309115)",41
Monday,20,247.13829022988506,Chinatown-Lt Bourke St (South),-37.81172913,144.9682466,"(-37.81172913, 144.9682466)",42
Monday,36,235.1058576015945,Queen St (West),-37.81652527,144.96121063,"(-37.81652527, 144.96121063)",43
Monday,42,234.84269913976092,Grattan St-Swanston St (West),-37.80008565,144.96386412,"(-37.80008565, 144.96386412)",44
Monday,40,225.98170473773266,Lonsdale St-Spring St (West),-37.80999341,144.97227588,"(-37.80999341, 144.97227588)",45
Monday,63,218.7138671875,231 Bourke St,-37.81333081,144.96675572,"(-37.81333081, 144.96675572)",46
Monday,67,216.35096153846155,Flinders Ln -Degraves St (South),-37.81688755,144.9656257,"(-37.81688755, 144.9656257)",47
Monday,56,212.79794454140003,Lonsdale St - Elizabeth St (North),-37.81234775,144.96153311,"(-37.81234775, 144.96153311)",48
Monday,31,199.3174373359877,Lygon St (West),-37.8016968,144.96658911,"(-37.8016968, 144.96658911)",49
Monday,39,193.1209217185313,Alfred Place,-37.81379749,144.96995745,"(-37.81379749, 144.96995745)",50
Monday,43,192.83419456301954,Monash Rd-Swanston St (West),-37.79844525,144.96411782,"(-37.79844525, 144.96411782)",51
Monday,50,189.6926889714994,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)",52
Monday,65,185.27583979328165,Swanston St - City Square,-37.81569416,144.96680641,"(-37.81569416, 144.96680641)",53
Monday,72,172.87404214559388,Flinders St- ACMI,-37.81726337,144.96872809,"(-37.81726337, 144.96872809)",54
Monday,10,170.00984630163305,Victoria Point,-37.81876473,144.94710545,"(-37.81876473, 144.94710545)",55
