sensor_id,after_lockdown_avg_hourly_counts,sensor_description,latitude,longitude,location,lockdown_avg_hourly_counts,growth_avg_hourly_counts,percent_growth
59,408.7018312101911,Building 80 RMIT,-37.80825648,144.96304859,"(-37.80825648, 144.96304859)",84.41001905799074,324.29181215220035,384.1863984527806
55,667.1204502814259,Elizabeth St-La Trobe St (East),-37.80988941,144.96134331,"(-37.80988941, 144.96134331)",354.8105091206099,312.309941160816,88.02161523762906
79,432.87527502750277,Flinders St (South),-37.81794046,144.96616678,"(-37.81794046, 144.96616678)",123.61319796954315,309.26207705795963,250.18532174384666
53,427.4884241971621,Collins Street (North),-37.8156419,144.965499,"(-37.8156419, 144.965499)",129.41913966784645,298.0692845293156,230.31314015400574
58,413.0345010615711,Bourke St - Spencer St (North),-37.81686074,144.95358075,"(-37.81686074, 144.95358075)",119.6736999727743,293.36080108879685,245.13389421028702
19,387.59064569536423,Chinatown-Swanston St (North),-37.81237202,144.96550671,"(-37.81237202, 144.96550671)",111.49686904437789,276.09377665098634,247.6246902871288
21,414.01353503184714,Bourke St-Russell St (West),-37.81244703,144.96778757,"(-37.81244703, 144.96778757)",141.64630336688649,272.3672316649606,192.28686184593616
30,347.2785297239915,Lonsdale St (South),-37.81121849,144.96656807,"(-37.81121849, 144.96656807)",91.49428260277702,255.78424712121446,279.5630938292651
65,338.3976420150054,Swanston St - City Square,-37.81569416,144.96680641,"(-37.81569416, 144.96680641)",95.05634953042058,243.3412924845848,255.9968836239699
63,353.703713817586,231 Bourke St,-37.81333081,144.96675572,"(-37.81333081, 144.96675572)",127.12705882352941,226.57665499405658,178.22850390063493
57,291.72028257030297,Bourke St Bridge,-37.8176735,144.95025595,"(-37.8176735, 144.95025595)",83.28723870779126,208.4330438625117,250.25807926444492
20,252.43378450106158,Chinatown-Lt Bourke St (South),-37.81172913,144.9682466,"(-37.81172913, 144.9682466)",50.36319085216444,202.07059364889713,401.22674959585646
29,263.7498527679623,St Kilda Rd-Alexandra Gardens,-37.81965808,144.96863453,"(-37.81965808, 144.96863453)",71.41737931034483,192.33247345761748,269.3076605651337
72,289.9126857749469,Flinders St- ACMI,-37.81726337,144.96872809,"(-37.81726337, 144.96872809)",101.83398112159911,188.0787046533478,184.69149745679155
14,269.224492451848,Sandridge Bridge,-37.82011242,144.96291898,"(-37.82011242, 144.96291898)",84.06286899632998,185.161623455518,220.26564839656112
67,298.74668259023355,Flinders Ln -Degraves St (South),-37.81688755,144.9656257,"(-37.81688755, 144.9656257)",115.72683801554095,183.0198445746926,158.14814239555642
61,267.8574273858921,RMIT Building 14,-37.80767455,144.96309115,"(-37.80767455, 144.96309115)",95.28437244759053,172.57305493830157,181.11370259926127
9,226.54777945827033,Southern Cross Station,-37.81982992,144.95102556,"(-37.81982992, 144.95102556)",62.7341410291315,163.81363842913882,261.1235855657442
56,236.4560607917637,Lonsdale St - Elizabeth St (North),-37.81234775,144.96153311,"(-37.81234775, 144.96153311)",77.8637542662116,158.5923065255521,203.6792446243143
17,247.9315025745046,Collins Place (South),-37.81362542,144.97323592,"(-37.81362542, 144.97323592)",92.06847263817043,155.86302993633416,169.2903395377011
26,348.9339171974522,QV Market-Elizabeth St (West),-37.80869542,144.96049404,"(-37.80869542, 144.96049404)",197.00734255859928,151.92657463885294,77.11721434629413
52,206.25844594594594,Elizabeth St-Lonsdale St (South),-37.81252157,144.9619401,"(-37.81252157, 144.9619401)",72.20773209910155,134.0507138468444,185.6459273126961
23,195.4986293859649,Spencer St-Collins St (South),-37.81909256,144.95452749,"(-37.81909256, 144.95452749)",66.97895647160566,128.51967291435926,191.88067369912298
50,210.06944444444446,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)",91.24129898602357,118.82814545842089,130.23504353727265
36,164.1259206798867,Queen St (West),-37.81652527,144.96121063,"(-37.81652527, 144.96121063)",57.10847965155846,107.01744102832822,187.3932587266973
40,159.80241507430998,Lonsdale St-Spring St (West),-37.80999341,144.97227588,"(-37.80999341, 144.97227588)",53.88730093915884,105.91511413515113,196.54930250586128
31,181.2383433533734,Lygon St (West),-37.8016968,144.96658911,"(-37.8016968, 144.96658911)",76.01756057718487,105.22078277618854,138.4164158613746
68,151.9543524416136,Flinders Ln -Degraves St (North),-37.81684789,144.96559789,"(-37.81684789, 144.96559789)",59.28949990037856,92.66485254123504,156.29218107242525
42,126.0974676089517,Grattan St-Swanston St (West),-37.80008565,144.96386412,"(-37.80008565, 144.96386412)",38.3897359106997,87.707731698252,228.4666190522211
62,145.6833864118896,La Trobe St (North),-37.80996494,144.96216521,"(-37.80996494, 144.96216521)",58.70673607824578,86.9766503336438,148.15446428109917
18,133.53621291448516,Collins Place (North),-37.81344861,144.97305354,"(-37.81344861, 144.97305354)",49.018206896551725,84.51800601793343,172.4216599687146
54,115.75024154589372,Lincoln-Swanston (West),-37.804024,144.963084,"(-37.804024, 144.963084)",35.686501190071404,80.06374035582232,224.3530121638751
11,116.46780500521376,Waterfront City,-37.81564989,144.93970695,"(-37.81564989, 144.93970695)",37.72393139123332,78.74387361398044,208.73718806592825
12,205.90663845543506,New Quay,-37.81457987,144.94292398,"(-37.81457987, 144.94292398)",127.91964042495233,77.98699803048272,60.96561698532603
7,177.9392006802721,Birrarung Marr,-37.81862929,144.97169395,"(-37.81862929, 144.97169395)",102.0819382060705,75.8572624742016,74.31017064063798
39,97.9465937762826,Alfred Place,-37.81379749,144.96995745,"(-37.81379749, 144.96995745)",26.576805978411294,71.36978779787131,268.54162932839245
69,104.796974522293,Flinders Ln -Degraves St (Crossing),-37.81687225,144.96559145,"(-37.81687225, 144.96559145)",37.14325562861128,67.65371889368171,182.14267367981702
73,88.625,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)",24.0,64.625,269.27083333333337
