sensor_id,day,time,avg_hourly_counts,sensor_description,latitude,longitude,location
16,Thursday,23,122.4090909090909,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Tuesday,0,221.35911602209944,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Tuesday,1,17.387218045112782,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Tuesday,2,9.657894736842104,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Tuesday,3,8.37593984962406,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Tuesday,4,10.105263157894736,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Tuesday,5,23.642857142857142,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Tuesday,6,96.94360902255639,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Tuesday,7,397.109022556391,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Tuesday,8,907.9323308270676,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Tuesday,9,902.1691729323309,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Tuesday,10,1107.6127819548872,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Tuesday,11,1414.609022556391,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Tuesday,12,2379.8383458646617,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Tuesday,13,2613.5864661654136,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Tuesday,14,1765.9097744360902,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Tuesday,15,1502.2631578947369,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Tuesday,16,1333.1315789473683,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Tuesday,17,1273.796992481203,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Tuesday,18,719.890977443609,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Tuesday,19,375.109022556391,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Tuesday,20,256.54135338345867,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Tuesday,21,208.77443609022558,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Tuesday,22,143.93233082706766,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Tuesday,23,82.9812030075188,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Wednesday,0,265.50518134715026,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Wednesday,1,20.236842105263158,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Wednesday,2,10.81203007518797,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Wednesday,3,9.30451127819549,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Wednesday,4,9.984962406015038,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Wednesday,5,23.781954887218046,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Wednesday,6,103.07518796992481,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Wednesday,7,426.52255639097746,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
