id,date_time,year,month,mdate,day,time,sensor_id,sensor_name,hourly_counts,date_key,day_type
2887791,2019-11-01T20:00:00.000,2019,November,1,Friday,20,31,Lygon St (West),687,20191101,Weekday
2887792,2019-11-01T20:00:00.000,2019,November,1,Friday,20,30,Lonsdale St (South),1064,20191101,Weekday
2887793,2019-11-01T20:00:00.000,2019,November,1,Friday,20,34,Flinders St-Spark La,118,20191101,Weekday
2887794,2019-11-01T20:00:00.000,2019,November,1,Friday,20,39,Alfred Place,158,20191101,Weekday
2887795,2019-11-01T20:00:00.000,2019,November,1,Friday,20,37,Lygon St (East),325,20191101,Weekday
2887796,2019-11-01T20:00:00.000,2019,November,1,Friday,20,40,Lonsdale St-Spring St (West),245,20191101,Weekday
2887797,2019-11-01T20:00:00.000,2019,November,1,Friday,20,36,Queen St (West),367,20191101,Weekday
2844936,2019-09-29T10:00:00.000,2019,September,29,Sunday,10,7,Birrarung Marr,418,20190929,Weekend
2887798,2019-11-01T20:00:00.000,2019,November,1,Friday,20,29,St Kilda Rd-Alexandra Gardens,299,20191101,Weekday
2887799,2019-11-01T20:00:00.000,2019,November,1,Friday,20,42,Grattan St-Swanston St (West),198,20191101,Weekday
2887800,2019-11-01T20:00:00.000,2019,November,1,Friday,20,43,Monash Rd-Swanston St (West),27,20191101,Weekday
2887801,2019-11-01T20:00:00.000,2019,November,1,Friday,20,44,Tin Alley-Swanston St (West),42,20191101,Weekday
2887802,2019-11-01T20:00:00.000,2019,November,1,Friday,20,35,Southbank,1695,20191101,Weekday
2887803,2019-11-01T20:00:00.000,2019,November,1,Friday,20,45,Little Collins St-Swanston St (East),1471,20191101,Weekday
2887804,2019-11-01T20:00:00.000,2019,November,1,Friday,20,46,Pelham St (S),132,20191101,Weekday
2887805,2019-11-01T20:00:00.000,2019,November,1,Friday,20,47,Melbourne Central-Elizabeth St (East),1414,20191101,Weekday
2887806,2019-11-01T20:00:00.000,2019,November,1,Friday,20,48,QVM-Queen St (East),186,20191101,Weekday
2887807,2019-11-01T20:00:00.000,2019,November,1,Friday,20,49,QVM-Therry St (South),100,20191101,Weekday
2887808,2019-11-01T20:00:00.000,2019,November,1,Friday,20,50,Faraday St-Lygon St (West),605,20191101,Weekday
2887809,2019-11-01T20:00:00.000,2019,November,1,Friday,20,51,QVM-Franklin St (North),151,20191101,Weekday
2887810,2019-11-01T20:00:00.000,2019,November,1,Friday,20,52,Elizabeth St-Lonsdale St (South),693,20191101,Weekday
2887811,2019-11-01T20:00:00.000,2019,November,1,Friday,20,54,Lincoln-Swanston(West),216,20191101,Weekday
2887812,2019-11-01T20:00:00.000,2019,November,1,Friday,20,55,Elizabeth St-La Trobe St (East),1673,20191101,Weekday
2887813,2019-11-01T20:00:00.000,2019,November,1,Friday,20,56,Lonsdale St - Elizabeth St (North),560,20191101,Weekday
2887814,2019-11-01T20:00:00.000,2019,November,1,Friday,20,57,Bourke St Bridge,249,20191101,Weekday
2887815,2019-11-01T20:00:00.000,2019,November,1,Friday,20,58,Bourke St - Spencer St (North),662,20191101,Weekday
2887816,2019-11-01T20:00:00.000,2019,November,1,Friday,20,59,Swanston St - RMIT Building 80,11,20191101,Weekday
2887817,2019-11-01T20:00:00.000,2019,November,1,Friday,20,61,Swanston St - RMIT Building 14,741,20191101,Weekday
2887818,2019-11-01T20:00:00.000,2019,November,1,Friday,20,62,La Trobe St (North),273,20191101,Weekday
2887819,2019-11-01T21:00:00.000,2019,November,1,Friday,21,4,Town Hall (West),1715,20191101,Weekday
2887820,2019-11-01T21:00:00.000,2019,November,1,Friday,21,17,Collins Place (South),191,20191101,Weekday
2887821,2019-11-01T21:00:00.000,2019,November,1,Friday,21,18,Collins Place (North),145,20191101,Weekday
2887822,2019-11-01T21:00:00.000,2019,November,1,Friday,21,53,Collins St (North),485,20191101,Weekday
2887823,2019-11-01T21:00:00.000,2019,November,1,Friday,21,2,Bourke Street Mall (South),588,20191101,Weekday
2887824,2019-11-01T21:00:00.000,2019,November,1,Friday,21,1,Bourke Street Mall (North),1450,20191101,Weekday
2887825,2019-11-01T21:00:00.000,2019,November,1,Friday,21,3,Melbourne Central,2662,20191101,Weekday
2887826,2019-11-01T21:00:00.000,2019,November,1,Friday,21,15,State Library,1267,20191101,Weekday
2887827,2019-11-01T21:00:00.000,2019,November,1,Friday,21,9,Southern Cross Station,167,20191101,Weekday
2887828,2019-11-01T21:00:00.000,2019,November,1,Friday,21,10,Victoria Point,76,20191101,Weekday
2887829,2019-11-01T21:00:00.000,2019,November,1,Friday,21,12,New Quay,462,20191101,Weekday
2887830,2019-11-01T21:00:00.000,2019,November,1,Friday,21,11,Waterfront City,109,20191101,Weekday
2887831,2019-11-01T21:00:00.000,2019,November,1,Friday,21,8,Webb Bridge,132,20191101,Weekday
2887832,2019-11-01T21:00:00.000,2019,November,1,Friday,21,7,Birrarung Marr,239,20191101,Weekday
2887833,2019-11-01T21:00:00.000,2019,November,1,Friday,21,5,Princes Bridge,2739,20191101,Weekday
2887834,2019-11-01T21:00:00.000,2019,November,1,Friday,21,6,Flinders Street Station Underpass,2006,20191101,Weekday
2887835,2019-11-01T21:00:00.000,2019,November,1,Friday,21,14,Sandridge Bridge,13,20191101,Weekday
2887836,2019-11-01T21:00:00.000,2019,November,1,Friday,21,26,QV Market-Elizabeth St (West),537,20191101,Weekday
2887837,2019-11-01T21:00:00.000,2019,November,1,Friday,21,24,Spencer St-Collins St (North),1054,20191101,Weekday
2887838,2019-11-01T21:00:00.000,2019,November,1,Friday,21,23,Spencer St-Collins St (South),229,20191101,Weekday
2887839,2019-11-01T21:00:00.000,2019,November,1,Friday,21,25,Melbourne Convention Exhibition Centre,1322,20191101,Weekday
2887840,2019-11-01T21:00:00.000,2019,November,1,Friday,21,21,Bourke St-Russell St (West),937,20191101,Weekday
2887841,2019-11-01T21:00:00.000,2019,November,1,Friday,21,20,Chinatown-Lt Bourke St (South),765,20191101,Weekday
2887842,2019-11-01T21:00:00.000,2019,November,1,Friday,21,19,Chinatown-Swanston St (North),1243,20191101,Weekday
2887843,2019-11-01T21:00:00.000,2019,November,1,Friday,21,22,Flinders St-Elizabeth St (East),2266,20191101,Weekday
2887844,2019-11-01T21:00:00.000,2019,November,1,Friday,21,27,QV Market-Peel St,146,20191101,Weekday
2887845,2019-11-01T21:00:00.000,2019,November,1,Friday,21,28,The Arts Centre,1205,20191101,Weekday
2887846,2019-11-01T21:00:00.000,2019,November,1,Friday,21,31,Lygon St (West),800,20191101,Weekday
2887847,2019-11-01T21:00:00.000,2019,November,1,Friday,21,30,Lonsdale St (South),1106,20191101,Weekday
2887848,2019-11-01T21:00:00.000,2019,November,1,Friday,21,34,Flinders St-Spark La,131,20191101,Weekday
2887849,2019-11-01T21:00:00.000,2019,November,1,Friday,21,39,Alfred Place,114,20191101,Weekday
2887850,2019-11-01T21:00:00.000,2019,November,1,Friday,21,37,Lygon St (East),366,20191101,Weekday
2887851,2019-11-01T21:00:00.000,2019,November,1,Friday,21,40,Lonsdale St-Spring St (West),215,20191101,Weekday
2887852,2019-11-01T21:00:00.000,2019,November,1,Friday,21,36,Queen St (West),297,20191101,Weekday
2887853,2019-11-01T21:00:00.000,2019,November,1,Friday,21,29,St Kilda Rd-Alexandra Gardens,382,20191101,Weekday
2887854,2019-11-01T21:00:00.000,2019,November,1,Friday,21,42,Grattan St-Swanston St (West),157,20191101,Weekday
2887855,2019-11-01T21:00:00.000,2019,November,1,Friday,21,43,Monash Rd-Swanston St (West),13,20191101,Weekday
2887856,2019-11-01T21:00:00.000,2019,November,1,Friday,21,44,Tin Alley-Swanston St (West),38,20191101,Weekday
2887857,2019-11-01T21:00:00.000,2019,November,1,Friday,21,35,Southbank,1825,20191101,Weekday
2887858,2019-11-01T21:00:00.000,2019,November,1,Friday,21,45,Little Collins St-Swanston St (East),1562,20191101,Weekday
2887859,2019-11-01T21:00:00.000,2019,November,1,Friday,21,46,Pelham St (S),93,20191101,Weekday
2887860,2019-11-01T21:00:00.000,2019,November,1,Friday,21,47,Melbourne Central-Elizabeth St (East),1213,20191101,Weekday
2887861,2019-11-01T21:00:00.000,2019,November,1,Friday,21,48,QVM-Queen St (East),189,20191101,Weekday
2887862,2019-11-01T21:00:00.000,2019,November,1,Friday,21,49,QVM-Therry St (South),137,20191101,Weekday
2887863,2019-11-01T21:00:00.000,2019,November,1,Friday,21,50,Faraday St-Lygon St (West),555,20191101,Weekday
2887864,2019-11-01T21:00:00.000,2019,November,1,Friday,21,51,QVM-Franklin St (North),148,20191101,Weekday
2887865,2019-11-01T21:00:00.000,2019,November,1,Friday,21,52,Elizabeth St-Lonsdale St (South),618,20191101,Weekday
2887866,2019-11-01T21:00:00.000,2019,November,1,Friday,21,54,Lincoln-Swanston(West),211,20191101,Weekday
2887867,2019-11-01T21:00:00.000,2019,November,1,Friday,21,55,Elizabeth St-La Trobe St (East),1530,20191101,Weekday
2887868,2019-11-01T21:00:00.000,2019,November,1,Friday,21,56,Lonsdale St - Elizabeth St (North),405,20191101,Weekday
2887869,2019-11-01T21:00:00.000,2019,November,1,Friday,21,57,Bourke St Bridge,161,20191101,Weekday
